Itinerary: ['earth', 'venus', 'earth', 'pluto']
case #: launch date, tof of each leg
15243 : 2029-01-20, [0.2729630969060998, 0.374883381865318, 10.102153521228582]
15244 : 2029-01-20, [0.2814211777614587, 0.39014652429450813, 10.328432297944032]
15245 : 2029-01-20, [0.3741786366071936, 0.23884776937480856, 10.636973594017999]
15246 : 2029-01-20, [0.382803649268645, 0.24859155720939116, 10.868604793521964]
15247 : 2029-01-20, [0.390603205890517, 0.2576045364076095, 11.101792257701874]
15248 : 2029-01-20, [0.3984312679692192, 0.2680018391333384, 11.33356689289744]
15249 : 2029-01-20, [0.4062933754843039, 0.27987517324739924, 11.563831451268296]
15250 : 2029-01-20, [0.4151029894398635, 0.2928996555695176, 11.79199735499062]
15251 : 2029-01-20, [0.42399562562264564, 0.3082296037043772, 12.017774770672977]
15252 : 2029-01-20, [0.4340218639515233, 0.3264313354618048, 12.239546800586671]
15253 : 2029-01-20, [0.44636210286566197, 0.3500838572821837, 12.453554039852154]
15254 : 2029-01-20, [0.4616239496446957, 0.3837770414392918, 12.654599008916012]
15255 : 2029-01-20, [0.4829767418522556, 0.43676949416687844, 12.830253763980867]
15256 : 2029-01-20, [0.515659165544255, 0.5277965118684449, 12.9565443225873]
15257 : 2029-01-20, [0.65519176814234, 0.949291231941983, 12.645516999915676]
15258 : 2029-01-20, [0.21763894870303216, 0.14598720713228322, 14.136373844164684]
15259 : 2029-01-20, [0.3689608378675555, 0.7634666705240594, 13.617572491608385]
15260 : 2029-01-20, [0.07458052910697513, 0.13072351836500948, 14.794695952528016]
15261 : 2029-01-20, [0.952964009883015, 0.24842826722739964, 14.048607722889583]
15262 : 2029-01-20, [0.40755044053580564, 0.8584378942491431, 14.234011665215052]
15263 : 2029-01-20, [0.1729030440060954, 0.3522614964557249, 15.224835459538179]
15264 : 2029-01-20, [0.18802936619712596, 0.18954361354322677, 15.622427020259648]
15265 : 2029-01-20, [1.2847814315978938, 0.5727987354582871, 14.392419832943817]
15266 : 2029-01-20, [0.21955584310075868, 0.5310168749074058, 15.749427281991835]
15267 : 2029-01-20, [0.464180436598405, 0.8926324636959402, 15.393187099705655]
15268 : 2029-01-20, [0.9397460048551951, 0.18364663014225083, 15.876607365002554]
15269 : 2029-01-20, [0.22444226275887527, 0.24875961732337679, 16.77679811991775]
15270 : 2029-01-20, [0.49310154474956225, 0.8805457575985665, 16.12635269765187]
15271 : 2029-01-20, [0.3496338904531599, 0.19636664928800207, 17.20399946025884]
15272 : 2029-01-20, [1.3757389260074349, 0.587152764748474, 16.03710830924409]
15273 : 2029-01-20, [0.4890914761931546, 0.3706935556373207, 17.390214968169524]
15274 : 2029-01-20, [0.6447985139822409, 1.2643862205447642, 16.590815265472997]
15275 : 2029-01-20, [0.222848634889577, 0.8247657074849839, 17.702385657625438]
15276 : 2029-01-20, [0.6077910527945705, 0.4299008517954179, 17.962308095410012]
15277 : 2029-01-20, [0.40874144278381436, 1.639243680746957, 17.202014876469228]
15278 : 2029-01-20, [0.6495215858364225, 0.4819996534302924, 18.368478760733286]
15279 : 2029-01-20, [1.0116742793197848, 0.15522462578412455, 18.58310109489609]
15280 : 2029-01-20, [0.40906844868467707, 1.511648032460773, 18.07928351885455]
15281 : 2029-01-20, [1.0718377832069135, 0.20379748087965116, 18.974364735913436]
15282 : 2029-01-20, [0.5660614663255297, 0.5653965283979538, 19.368542005276517]
15283 : 2029-01-20, [0.18240171723716544, 0.24746964933424906, 20.320128633428585]
15284 : 2029-01-20, [1.1028431748550311, 0.20453913388375405, 19.692617691261212]
15285 : 2029-01-20, [1.249358248936815, 0.31877877157965634, 19.68186297948353]
15286 : 2029-01-20, [0.8661084901316496, 1.9101417388415596, 18.72374977102679]
15287 : 2029-01-20, [1.1880216101442616, 0.23716227978398227, 20.324816110071755]
15288 : 2029-01-20, [0.4129969675124409, 0.2163139091349338, 21.370689123352626]
15289 : 2029-01-20, [1.2948294246223986, 0.31060016161880355, 20.6445704137588]
15290 : 2029-01-20, [0.5061951214768805, 0.3197269087309641, 21.674077969792158]
15291 : 2029-01-20, [0.3703309566607395, 0.30075214513368087, 22.07891689820558]
15292 : 2029-01-20, [0.8679544206358856, 1.0324689489552064, 21.099576630408905]
15293 : 2029-01-20, [1.2304243778867, 0.21920424840913888, 21.800371373704163]
15294 : 2029-01-20, [0.625489348717128, 1.0609948332257004, 21.81351581805717]
15295 : 2029-01-20, [0.5927920220951148, 0.7010268132884586, 22.456181164616428]
15296 : 2029-01-20, [0.6143049465263215, 0.9544581169083011, 22.431236936565377]
15297 : 2029-01-20, [0.6713141081983253, 0.41339533404462336, 23.16529055775705]
15298 : 2029-01-20, [0.3991160503528394, 0.1718317224626457, 23.929052227184513]
15299 : 2029-01-20, [0.20649279330706793, 1.833870003056652, 22.70963720363628]
15300 : 2029-02-01, [0.021895023541898977, 0.22107670461211268, 9.757028271845988]
15301 : 2029-02-01, [0.3588480030277812, 0.23992188426241254, 9.651230112709806]
15302 : 2029-02-01, [0.4008944458711956, 0.3676044120907256, 9.731501142038079]
15303 : 2029-02-01, [0.3596355552528889, 0.21772968747510618, 10.172634757272006]
15304 : 2029-02-01, [0.3682258467500411, 0.22537619149393515, 10.406397961756022]
15305 : 2029-02-01, [0.3755283264906112, 0.23337424512544108, 10.641097428383947]
15306 : 2029-02-01, [0.3826848584011076, 0.24261580570413083, 10.87469933589476]
15307 : 2029-02-01, [0.3906472750119575, 0.25172463242046544, 11.107628092567577]
15308 : 2029-02-01, [0.3986007658732672, 0.2632464990867155, 11.338152735040017]
15309 : 2029-02-01, [0.40664422224561847, 0.2742115961546024, 11.569144181599778]
15310 : 2029-02-01, [0.4155882227233756, 0.28899627722513216, 11.795415500051492]
15311 : 2029-02-01, [0.42757074691036884, 0.3073788547803287, 12.015050398309302]
15312 : 2029-02-01, [0.43798342761904757, 0.3295466788356274, 12.232469893545325]
15313 : 2029-02-01, [0.45421551907403784, 0.363541747999459, 12.432242732926502]
15314 : 2029-02-01, [0.4744927076142782, 0.4155014929575876, 12.610005799428134]
15315 : 2029-02-01, [0.5073500741373341, 0.5142246872423298, 12.728425238620337]
15316 : 2029-02-01, [0.7974593592798683, 0.0716225320571579, 13.130918108662973]
15317 : 2029-02-01, [0.22332753942967096, 0.5932647539433659, 13.43340770662696]
15318 : 2029-02-01, [0.15504855204127688, 0.08625852528795153, 14.258692922670772]
15319 : 2029-02-01, [0.6792266770077755, 1.2969532419799972, 12.773820081012225]
15320 : 2029-02-01, [0.3372365066249796, 0.5755753330247019, 14.087188160350317]
15321 : 2029-02-01, [0.3959692837869726, 0.8123141077765347, 14.041716608436491]
15322 : 2029-02-01, [0.9541126535948735, 0.21544618987308378, 14.330441156532043]
15323 : 2029-02-01, [0.047466283245590615, 0.07822396421522364, 15.624309752539185]
15324 : 2029-02-01, [1.1807177342028303, 0.42316770371073986, 14.39611456208643]
15325 : 2029-02-01, [0.2320990760058758, 0.06144585052626091, 15.956455073467863]
15326 : 2029-02-01, [0.6726639952948333, 0.6442163081692909, 15.183119696535874]
15327 : 2029-02-01, [0.18432761725338556, 0.10665870768462407, 16.45901367506199]
15328 : 2029-02-01, [0.34143465587385985, 0.13991329735982982, 16.518652046766313]
15329 : 2029-02-01, [0.9616618276545931, 0.17346995342215238, 16.114868218923252]
15330 : 2029-02-01, [1.1245652434519016, 0.2557089865855978, 16.1197257699625]
15331 : 2029-02-01, [0.3002608700603158, 0.16834096636804827, 17.281398163571637]
15332 : 2029-02-01, [0.5316530433727131, 0.557156066516581, 16.911190890110706]
15333 : 2029-02-01, [0.22432286258790496, 0.668905387499661, 17.356771749912436]
15334 : 2029-02-01, [0.5825158116444952, 0.34491189289969565, 17.572572295455807]
15335 : 2029-02-01, [0.26289684401600727, 1.1762635272061865, 17.310839628777806]
15336 : 2029-02-01, [1.835466499345212, 0.9790700820760869, 16.1854634185787]
15337 : 2029-02-01, [0.3517179682696259, 0.1878317323383997, 18.710450299391972]
15338 : 2029-02-01, [0.33929818861155336, 1.1014581966861376, 18.05924361470231]
15339 : 2029-02-01, [1.0300830629203572, 0.1344688673812167, 18.585448069698426]
15340 : 2029-02-01, [0.7299844890712557, 1.3929361518586556, 17.877079359070088]
15341 : 2029-02-01, [1.1059791394662255, 0.21253767448627509, 18.931483186047497]
15342 : 2029-02-01, [1.0264999695930603, 0.10689445716815212, 19.36660557323879]
15343 : 2029-02-01, [0.8479186674736031, 0.8523555063225668, 19.04972582620383]
15344 : 2029-02-01, [0.30196815412410694, 0.18413222592365971, 20.51389961995223]
15345 : 2029-02-01, [0.323608334944765, 0.10172418166514019, 20.824667483390098]
15346 : 2029-02-01, [0.6946638419379418, 0.5296728268262538, 20.275663331235805]
15347 : 2029-02-01, [0.3369385722320961, 1.211805379144834, 20.20125604862307]
15348 : 2029-02-01, [1.3124469449383458, 0.26899255554876184, 20.418560499512893]
15349 : 2029-02-01, [0.506767443515811, 0.7484925359250947, 20.994740020559092]
15350 : 2029-02-01, [0.443141226726304, 1.2908706775798187, 20.765988095693874]
15351 : 2029-02-01, [0.7134745742250816, 0.5248267810319096, 21.511698644743007]
15352 : 2029-02-01, [0.15659129454176482, 1.0076196777043864, 21.835789027753847]
15353 : 2029-02-01, [0.6105558853298704, 0.6727354763401574, 21.966708638329976]
15354 : 2029-02-01, [0.3825344433522899, 0.4365361226900574, 22.68092943395765]
15355 : 2029-02-01, [0.6892696260482234, 0.42813509927537097, 22.632595274676405]
15356 : 2029-02-01, [0.6876720800251932, 0.6221063379913497, 22.690221581983455]
15357 : 2029-02-01, [0.20040603218001515, 1.2075951092078718, 22.84199885861211]
15358 : 2029-02-01, [0.954488356690239, 1.0644121353743337, 22.481099507935426]
15359 : 2029-02-01, [0.3276148884074213, 0.8550540267356038, 23.567331084856978]
15360 : 2029-02-10, [0.348689071519703, 0.22114151725705353, 9.430169411223243]
15361 : 2029-02-10, [0.4541295076723368, 0.43865080446304144, 9.357219687864621]
15362 : 2029-02-10, [0.3534014153520909, 0.20649595309338198, 9.940102631554527]
15363 : 2029-02-10, [0.36123382094003975, 0.21358535995020078, 10.175180819109759]
15364 : 2029-02-10, [0.36865248524237687, 0.2213366074407211, 10.410010907316904]
15365 : 2029-02-10, [0.3759512980897839, 0.2293594873358923, 10.644689214574322]
15366 : 2029-02-10, [0.3832144249272498, 0.23765089220561772, 10.879134682867134]
15367 : 2029-02-10, [0.39207341006687296, 0.2482702844723145, 11.109656305460813]
15368 : 2029-02-10, [0.4002016248581105, 0.25882859554249654, 11.340969779599392]
15369 : 2029-02-10, [0.40831380498130293, 0.2724672383847669, 11.56921895663393]
15370 : 2029-02-10, [0.4193483885101699, 0.288347646008603, 11.792303965481228]
15371 : 2029-02-10, [0.42970272486798355, 0.307661537158654, 12.012635737973362]
15372 : 2029-02-10, [0.44259714630602137, 0.3356807293010384, 12.22172212439294]
15373 : 2029-02-10, [0.4620658793343689, 0.3777045820951854, 12.410229538570446]
15374 : 2029-02-10, [0.4899338532783067, 0.45322242504213023, 12.556843721679561]
15375 : 2029-02-10, [0.5455824439266472, 0.623266648356065, 12.581150907717287]
15376 : 2029-02-10, [0.2305045483909192, 0.691826763952807, 13.077668687656272]
15377 : 2029-02-10, [0.4678098508753748, 0.6587057737760501, 13.123484375348577]
15378 : 2029-02-10, [0.16807536174279794, 0.2542396643418133, 14.077684973915387]
15379 : 2029-02-10, [0.6736275844236772, 0.7301945597139525, 13.34617785586237]
15380 : 2029-02-10, [0.36065024644118454, 0.2783991873084159, 14.360950566250398]
15381 : 2029-02-10, [0.6698236721129782, 1.2492456079457392, 13.330930719941282]
15382 : 2029-02-10, [0.0497931510784037, 0.6986319355682483, 14.751574913353346]
15383 : 2029-02-10, [0.9384330581608072, 0.17755251944620856, 14.634014422392985]
15384 : 2029-02-10, [0.203961241643857, 0.493423701112269, 15.302615057243873]
15385 : 2029-02-10, [0.6178475573836083, 0.5198925463914891, 15.112259896224902]
15386 : 2029-02-10, [0.16963247238687065, 0.05213059669545321, 16.27823693091768]
15387 : 2029-02-10, [0.09967496166200304, 0.1036652292416373, 16.546659809096358]
15388 : 2029-02-10, [0.24238676062776668, 0.23207935812940877, 16.525533881242826]
