Itinerary: ['earth', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
2231  : 2023-01-10, [0.06113389700141, 1.9559055999059844, 10.732960503092604]
2232  : 2023-01-10, [0.06419446197984287, 2.001087647997653, 10.934717890022505]
2233  : 2023-01-10, [0.068379652260849, 2.044018318575905, 11.137602029163245]
2234  : 2023-01-10, [0.07173680226965604, 2.088268248381337, 11.339994949349007]
2235  : 2023-01-10, [0.07624263216260867, 2.1325061449496894, 11.541251222887702]
2236  : 2023-01-10, [0.07980687482941, 2.177730198501829, 11.742462926668763]
2237  : 2023-01-10, [0.08456271163880677, 2.221960047150798, 11.943477241210395]
2238  : 2023-01-10, [0.08942762105959454, 2.265366263984837, 12.14520611495557]
2239  : 2023-01-10, [0.09442547658915003, 2.3099289039784923, 12.345645619432357]
2240  : 2023-01-10, [0.0983976574416918, 2.3565741461406624, 12.545028196417643]
2241  : 2023-01-10, [0.10361193500666617, 2.4015704422610313, 12.744817622732302]
2242  : 2023-01-10, [0.19420884065144453, 2.278511568110226, 13.027279591238331]
2243  : 2023-01-10, [0.2030702278182975, 2.3163028249984574, 13.230626947183247]
2244  : 2023-01-10, [0.21217203917417704, 2.354976604993562, 13.432851355832263]
2245  : 2023-01-10, [0.22249239021860842, 2.3892716442022346, 13.638235965579158]
2246  : 2023-01-10, [0.23185225457814412, 2.4262794706660733, 13.84186827475578]
2247  : 2023-01-10, [0.2425207040942143, 2.4602588796020965, 14.047220416303688]
2248  : 2023-01-10, [0.2395076624244507, 2.069829785353082, 14.690662552222468]
2249  : 2023-01-10, [0.24932690385924391, 2.08503962181362, 14.915633474327135]
2250  : 2023-01-10, [0.2593748301483396, 2.100613272158674, 15.140011897692988]
2251  : 2023-01-10, [0.43622941192904935, 2.14663797419923, 15.16713261387172]
2252  : 2023-01-10, [0.9741832833076951, 2.6442244251743703, 14.381592291517935]
2253  : 2023-01-10, [0.9892933743634288, 2.685987657785636, 14.574718967850936]
2254  : 2023-01-10, [1.0042293901421622, 2.728108526474603, 14.767662083383234]
2255  : 2023-01-10, [1.0191940314107597, 2.769685282030322, 14.961120686558917]
2256  : 2023-01-10, [1.0343437002824238, 2.8119076834352548, 15.153748616282321]
2257  : 2023-01-10, [1.0509845813390544, 2.8521219401688707, 15.346893478492076]
2258  : 2023-01-10, [1.0657630306980195, 2.8948771721808444, 15.539359797121136]
2259  : 2023-01-10, [1.0815751069830362, 2.9348000136037276, 15.733624879413236]
2260  : 2023-01-10, [1.0957984600503863, 2.9784989141317433, 15.925702625817872]
2261  : 2023-01-10, [0.0903635339771453, 3.1790587867899855, 16.98057767923287]
2262  : 2023-01-10, [0.09373334234291307, 3.220832434605711, 17.185434223051374]
2263  : 2023-01-10, [0.09756458328953223, 3.264793470176406, 17.38764194653406]
2264  : 2023-01-10, [0.10162450319478608, 3.3066580697993224, 17.591717427005893]
2265  : 2023-01-10, [0.10582229953492782, 3.3471191344405407, 17.79705856602453]
2266  : 2023-01-10, [0.11015935814623343, 3.388328060402142, 18.001512581451625]
2267  : 2023-01-10, [0.11460680345244714, 3.431786748338235, 18.203606448209314]
2268  : 2023-01-10, [0.12072416943051888, 3.4690486389396376, 18.410227191629843]
2269  : 2023-01-10, [0.12534418385737148, 3.5111959316318244, 18.613459884510807]
2270  : 2023-01-10, [0.13167329059793195, 3.548358879013915, 18.81996783038815]
2271  : 2023-01-10, [0.1364331168842256, 3.5899274979395916, 19.023639385176182]
2272  : 2023-01-10, [0.14295978954787783, 3.6262527663885997, 19.230787444063523]
2273  : 2023-01-10, [0.1495516543022079, 3.6626634715215154, 19.437784874176277]
2274  : 2023-01-10, [0.15626682221276886, 3.6997170089847797, 19.64401616880245]
2275  : 2023-01-10, [0.16132463103771744, 3.7379703253749503, 19.850705043587332]
2276  : 2023-01-10, [0.16987355914010968, 3.767319030115444, 20.062807410744448]
2277  : 2023-01-10, [0.1877144211146911, 3.798595072076548, 20.263690506808764]
2278  : 2023-01-10, [0.19478962220171808, 3.8304136947748746, 20.474796683023406]
2279  : 2023-01-10, [0.2054917713758759, 3.8544305190838584, 20.69007770954026]
2280  : 2023-01-20, [0.15585085723724382, 1.30191205600237, 8.542237086760386]
2281  : 2023-01-20, [0.16343152952674503, 1.3355865908498796, 8.750981879623376]
2282  : 2023-01-20, [0.1718831328894872, 1.3681907243303775, 8.959926142780136]
2283  : 2023-01-20, [0.18054207538308864, 1.4002655006195652, 9.169192423997346]
2284  : 2023-01-20, [0.18867130846320596, 1.4342768616210104, 9.377051829915784]
2285  : 2023-01-20, [0.1977684376383863, 1.466981955273586, 9.585249607088027]
2286  : 2023-01-20, [0.2070395744596612, 1.4988041251327546, 9.794156300407582]
2287  : 2023-01-20, [0.21577714263605557, 1.5329911967885794, 10.001231660575366]
2288  : 2023-01-20, [0.22549713821358655, 1.5653936984904973, 10.209109163295915]
2289  : 2023-01-20, [0.23542825477475945, 1.5976097248220642, 10.416962020403176]
2290  : 2023-01-20, [0.24558564096169022, 1.6297082313547955, 10.624706127683513]
2291  : 2023-01-20, [0.2559664812827702, 1.6616310058090842, 10.832402512908144]
2292  : 2023-01-20, [0.26743298608798255, 1.6912844729811025, 11.041282540930915]
2293  : 2023-01-20, [0.27828948759117916, 1.722731087709923, 11.248979424698899]
2294  : 2023-01-20, [0.28943939362979, 1.7542929969664098, 11.456267609403799]
2295  : 2023-01-20, [0.30077507068817955, 1.785260988646677, 11.663963940665145]
2296  : 2023-01-20, [0.31234308144100714, 1.8164972614284298, 11.871159657130564]
2297  : 2023-01-20, [0.792168542081171, 2.1800739608591524, 11.277757497059675]
2298  : 2023-01-20, [0.8079893376948056, 2.2277882977872117, 11.464222364517981]
2299  : 2023-01-20, [0.07404080910077343, 2.3087452267026416, 12.367213964196585]
2300  : 2023-01-20, [0.07846082025948124, 2.354165638334552, 12.567373541405967]
2301  : 2023-01-20, [0.08311983897936988, 2.3981307532854275, 12.768749407735204]
2302  : 2023-01-20, [0.08795314396750653, 2.4422472883571924, 12.9697995676753]
2303  : 2023-01-20, [0.09294428610489372, 2.48758033024657, 13.169475383648537]
2304  : 2023-01-20, [0.09805217056318558, 2.532020629296611, 13.369927200140204]
2305  : 2023-01-20, [0.10328205674250132, 2.5766136117477414, 13.570104331509755]
2306  : 2023-01-20, [0.10988491966006071, 2.619221594692183, 13.770893485647758]
2307  : 2023-01-20, [0.11534308949484927, 2.663564737735779, 13.97109217276937]
2308  : 2023-01-20, [0.12219975448944599, 2.70576282376839, 14.172037421742163]
2309  : 2023-01-20, [0.1292018641948161, 2.7480772202625694, 14.372720915542613]
2310  : 2023-01-20, [0.13634082843684997, 2.79036732586414, 14.57329184569901]
2311  : 2023-01-20, [0.14360332257203262, 2.8308361285908883, 14.775560548837078]
2312  : 2023-01-20, [0.15096865283348185, 2.870673268432992, 14.978358078733526]
2313  : 2023-01-20, [0.2691818064156546, 2.124592950766604, 15.856225242817741]
2314  : 2023-01-20, [0.28054342304999436, 2.1349454893320683, 16.084511087617937]
2315  : 2023-01-20, [0.29429753261286307, 2.1365401906341064, 16.31916227675303]
2316  : 2023-01-20, [0.30708070924921643, 2.1404227005690406, 16.552496590181743]
2317  : 2023-01-20, [0.3200983213395626, 2.1439182704871116, 16.785983408173326]
2318  : 2023-01-20, [0.3354933344308343, 2.1381507072961696, 17.026355958272994]
2319  : 2023-01-20, [0.35109245401719386, 2.131900817865753, 17.267006728117053]
2320  : 2023-01-20, [0.3658840241907356, 2.1288656492285845, 17.50525032658068]
2321  : 2023-01-20, [0.38201232699145304, 2.12134368747053, 17.746643985538014]
2322  : 2023-01-20, [0.5621590798363024, 2.3715641993185637, 17.56627672084514]
2323  : 2023-01-20, [0.5770420889916369, 2.3901300089600888, 17.782827902048275]
2324  : 2023-01-20, [0.592219372930587, 2.407311335127801, 18.00046929194161]
2325  : 2023-01-20, [1.1512524264301185, 3.2006302823690937, 16.898117291200787]
2326  : 2023-01-20, [1.1664652470343242, 3.2438243213279465, 17.08971043163773]
2327  : 2023-01-20, [1.1836380702363627, 3.283872415604599, 17.28248951415904]
2328  : 2023-01-20, [1.2008712177763032, 3.3240687181141784, 17.475060064109517]
2329  : 2023-01-20, [1.2181167803187256, 3.364347024982414, 17.66753619469886]
2330  : 2023-01-20, [1.2353307407944578, 3.404713526409126, 17.85995573279642]
2331  : 2023-01-20, [1.2521929435255865, 3.4436443062898006, 18.054162750184613]
2332  : 2023-01-20, [1.2689940277695826, 3.483450968338041, 18.247555003892376]
2333  : 2023-01-20, [1.284697102496198, 3.5235401516290117, 18.44176274587479]
2334  : 2023-01-20, [0.10797768556507366, 3.746901916910609, 19.645120397524316]
2335  : 2023-01-20, [0.11283067909936494, 3.783943571195831, 19.8532257497048]
2336  : 2023-01-20, [0.11860109479989725, 3.8198689357486386, 20.061529969451463]
2337  : 2023-01-20, [0.13017103760995963, 3.867161501385465, 20.252667461004574]
2338  : 2023-01-20, [0.1366191614526627, 3.8996716721657165, 20.46370916638162]
2339  : 2023-01-20, [0.14500147562964363, 3.9315691711691403, 20.673429353201215]
2340  : 2023-02-01, [0.15083539879971541, 1.260631468532112, 8.588533132668172]
2341  : 2023-02-01, [0.15890920123947835, 1.2903599818475857, 8.800730816912935]
2342  : 2023-02-01, [0.16715647714073428, 1.3196470022211573, 9.013196520638111]
2343  : 2023-02-01, [0.17563301303255024, 1.3498639116093991, 9.22450307535805]
2344  : 2023-02-01, [0.6348200612585728, 1.4754894460504095, 8.889690492691017]
2345  : 2023-02-01, [0.05548846917492981, 1.5962555558282563, 9.598255974996814]
2346  : 2023-02-01, [0.18993633099820303, 1.4904409239157146, 9.819622745086082]
2347  : 2023-02-01, [0.19905598768477198, 1.5222710931819705, 10.028672919133257]
2348  : 2023-02-01, [0.2084287188445739, 1.5542153962220304, 10.237355884933397]
2349  : 2023-02-01, [0.217213242755131, 1.5879492279121916, 10.444837529332677]
2350  : 2023-02-01, [0.22697278535505738, 1.6192996299690876, 10.653727584675854]
2351  : 2023-02-01, [0.2370111980443814, 1.6508187123861227, 10.862170089569496]
2352  : 2023-02-01, [0.24732173949513192, 1.6829702512492837, 11.069708009255585]
2353  : 2023-02-01, [0.25783370110492354, 1.7140703132844317, 11.278095985610644]
2354  : 2023-02-01, [0.2685886965040574, 1.7449242893136756, 11.486487014182266]
2355  : 2023-02-01, [0.2795922667616751, 1.7755138854068357, 11.694893847831489]
2356  : 2023-02-01, [0.29090770084913975, 1.8061756248516354, 11.902916674299224]
2357  : 2023-02-01, [0.30340313977028904, 1.8336915074854478, 12.112905352744264]
2358  : 2023-02-01, [0.31527118429481543, 1.8642618822344046, 12.32046693347078]
2359  : 2023-02-01, [0.3274250323341559, 1.8938899687578585, 12.528684998907984]
2360  : 2023-02-01, [0.3408669314717756, 1.9194539417321002, 12.739679126796123]
2361  : 2023-02-01, [0.35470612710195953, 1.946026849223195, 12.949267023674844]
2362  : 2023-02-01, [0.36780647914658354, 1.974296418880332, 13.157897101973083]
2363  : 2023-02-01, [0.3822937424957883, 1.9987109005569705, 13.368995356947242]
2364  : 2023-02-01, [0.39718819577316816, 2.0218399603477977, 13.580971843879032]
2365  : 2023-02-01, [0.41134378593632037, 2.0485273678766838, 13.790128846186995]
2366  : 2023-02-01, [0.9237592325253388, 2.608736255420953, 12.967504512053708]
2367  : 2023-02-01, [0.9399141022504899, 2.659330613908287, 13.150755283841224]
2368  : 2023-02-01, [0.9578774190210689, 2.708779761077268, 13.33334281990166]
2369  : 2023-02-01, [0.09616117622622822, 2.752559621349889, 14.401279202423883]
2370  : 2023-02-01, [0.10136591129376238, 2.7983754712651296, 14.600258617441108]
2371  : 2023-02-01, [0.10795288899650562, 2.838381529640453, 14.80366558136304]
2372  : 2023-02-01, [0.11471483785598761, 2.8783510712209974, 15.006934090923014]
2373  : 2023-02-01, [0.12164986932073088, 2.9195153360190647, 15.208834794660204]
2374  : 2023-02-01, [0.1286887838579408, 2.9588544296893113, 15.412456786452747]
2375  : 2023-02-01, [0.13722207370071055, 2.994232703578631, 15.618545222720659]
2376  : 2023-02-01, [0.1445294270855876, 3.030551181153724, 15.82491939176069]
2377  : 2023-02-01, [0.1636469430273644, 3.0734889153622205, 16.012864141610414]
2378  : 2023-02-01, [0.17273039736437282, 3.1069579957214737, 16.22031160691415]
2379  : 2023-02-01, [0.18192963027933676, 3.138786212755737, 16.429284156964926]
2380  : 2023-02-01, [0.19407078712776077, 3.16221368431231, 16.64371552855993]
2381  : 2023-02-01, [0.20499263287993943, 3.1898541379395016, 16.85515322918056]
2382  : 2023-02-01, [0.2160422287765922, 3.215722617621415, 17.068235153601993]
2383  : 2023-02-01, [0.22868868227577066, 3.2375977886666343, 17.283713529057597]
2384  : 2023-02-01, [0.3923576033356223, 2.1086757775218707, 18.498966619142507]
2385  : 2023-02-01, [0.41203686163217745, 2.0879285035670825, 18.75003463480074]
2386  : 2023-02-01, [0.4308616265357714, 2.066923275448112, 19.00221509801612]
2387  : 2023-02-01, [0.4502972904377252, 2.0475698927996095, 19.252132816762668]
2388  : 2023-02-01, [0.4744289245828433, 2.0034539391507487, 19.522117136266406]
2389  : 2023-02-01, [0.49649103474441875, 1.9774985797436204, 19.77601038551196]
2390  : 2023-02-01, [0.5195143390548782, 1.947528573007337, 20.03295708793778]
2391  : 2023-02-01, [0.5447375528147876, 1.9076576591464847, 20.29760478803873]
2392  : 2023-02-01, [0.571282117762004, 1.866104118938177, 20.56261376329982]
2393  : 2023-02-01, [0.597241181849878, 1.8289131249514534, 20.823845693198667]
2394  : 2023-02-01, [0.7337624370485198, 2.54208717413642, 20.224150388815058]
2395  : 2023-02-01, [0.7522550927774712, 2.5442099573741537, 20.453534949848372]
2396  : 2023-02-01, [0.7732043173147755, 2.549087055013976, 20.677708627671247]
2397  : 2023-02-01, [1.3131714006345292, 3.7353105200977614, 19.201518079267707]
2398  : 2023-02-01, [1.3301132751826963, 3.7719326444076557, 19.397954080409644]
2399  : 2023-02-01, [1.3494173378197312, 3.806399118350968, 19.594183543829303]
2400  : 2023-02-10, [0.14021517760255936, 1.2539310088251747, 8.605853813572265]
2401  : 2023-02-10, [0.14803296866247112, 1.2834207795759427, 8.818546251761587]
2402  : 2023-02-10, [0.15605043657438472, 1.3130933424727727, 9.030856220952842]
2403  : 2023-02-10, [0.16425377205788905, 1.3419051857597901, 9.243841042182321]
2404  : 2023-02-10, [0.17343313961111795, 1.3695537946392473, 9.457013065749635]
2405  : 2023-02-10, [0.1820786211357082, 1.397860957375002, 9.67006042148929]
2406  : 2023-02-10, [0.1909786965062797, 1.4262014936504352, 9.882819809843285]
2407  : 2023-02-10, [0.20006186432165388, 1.4539960230667925, 10.095942112611553]
2408  : 2023-02-10, [0.6459040243460988, 1.7031707909697398, 9.650925184684162]
2409  : 2023-02-10, [0.713266162210494, 1.6481681782160544, 9.888565659573452]
2410  : 2023-02-10, [0.06228866594517363, 1.7803247111822575, 10.657386622872568]
2411  : 2023-02-10, [0.22180677656203476, 1.6456998881174127, 10.882493335320554]
2412  : 2023-02-10, [0.23180658322318917, 1.6767441709990294, 11.09144924577778]
2413  : 2023-02-10, [0.24205538124140763, 1.7075972056901565, 11.300347413068435]
2414  : 2023-02-10, [0.25254113729343725, 1.7387204469467237, 11.50873841575984]
2415  : 2023-02-10, [0.2633437742506196, 1.769406256140079, 11.717249969609304]
2416  : 2023-02-10, [0.2743559509323499, 1.7994509652408206, 11.92619308382683]
2417  : 2023-02-10, [0.28562191209295174, 1.829732800027993, 12.134645287879056]
2418  : 2023-02-10, [0.2982459679545707, 1.8569075616348465, 12.344846470410582]
2419  : 2023-02-10, [0.3101146115003928, 1.8859193547890643, 12.553966033710543]
2420  : 2023-02-10, [0.3223147596456703, 1.9154533769137203, 12.762231863440608]
2421  : 2023-02-10, [0.3358781923545185, 1.9401915815666508, 12.973930226078831]
2422  : 2023-02-10, [0.348729511830296, 1.9688731574766325, 13.182397330693071]
2423  : 2023-02-10, [0.3630710152438111, 1.9934166737012373, 13.393512311054952]
2424  : 2023-02-10, [0.37662660171597667, 2.020479863596105, 13.602893534687919]
2425  : 2023-02-10, [0.39169181810751463, 2.0427261881784524, 13.81558199371403]
2426  : 2023-02-10, [0.4071661755032771, 2.0648376852157964, 14.027996139280928]
2427  : 2023-02-10, [0.42316040785290704, 2.086553270579147, 14.240286321567947]
2428  : 2023-02-10, [0.43955309456688446, 2.10641185106725, 14.454035054365864]
2429  : 2023-02-10, [0.4564975236836605, 2.125766080043433, 14.667736396272906]
2430  : 2023-02-10, [0.4737623128617337, 2.1434377919508765, 14.882799895187391]
2431  : 2023-02-10, [0.9923133244132046, 2.852900402865071, 13.904786272721724]
2432  : 2023-02-10, [1.0100024278663213, 2.9015875692281834, 14.088410002905496]
2433  : 2023-02-10, [1.0276566913120404, 2.94860989119276, 14.273733417495198]
2434  : 2023-02-10, [1.0457453457523227, 2.997590689824987, 14.45666396442269]
2435  : 2023-02-10, [0.10871303551268628, 3.0009981483142694, 15.640288816173046]
2436  : 2023-02-10, [0.11551688537675305, 3.0394970190767756, 15.84498609554647]
2437  : 2023-02-10, [0.13123777989741267, 3.0897541894214715, 16.029008030681116]
