Itinerary: ['earth', 'venus', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
10906 : 2027-01-10, [0.61966062271494571, 1.8284685770862965, 19.05187080019876]
10907 : 2027-01-10, [0.69264887844471035, 4.1977500444360434, 16.859601077119247]
10908 : 2027-01-10, [1.2391518479456414, 2.3559617159277142, 18.404886436126645]
10909 : 2027-01-10, [1.2455474112941389, 2.3917248252562273, 18.612727763449634]
10910 : 2027-01-10, [1.1756891211318736, 2.0476357020396625, 19.276675176828466]
10911 : 2027-01-10, [0.3740573752914102, 3.9009267568596018, 18.475015867848988]
10912 : 2027-01-10, [1.1484175473409397, 1.8922969375656589, 19.959285515093402]
10913 : 2027-01-10, [0.73491240568633542, 5.7645328125976096, 16.750554781716051]
10914 : 2027-01-10, [1.1080100082080298, 1.6846773484401651, 20.707312643351806]
10915 : 2027-01-10, [0.13663451282498459, 2.2915847359386232, 21.321780751236393]
10916 : 2027-01-10, [1.5002673572495333, 3.2839836708112049, 19.215748971939263]
10917 : 2027-01-10, [1.7083380149617184, 4.0946828559859458, 18.446979129052334]
10918 : 2027-01-10, [1.7372809360467116, 4.3382026051537563, 18.424516458799534]
10919 : 2027-01-10, [1.3316426780907189, 2.4668472319801333, 20.951510089929148]
10920 : 2027-01-20, [0.24602630031032344, 1.6967403365837608, 8.0572333631059152]
10921 : 2027-01-20, [0.24846960536068693, 1.7380323165932663, 8.2634980780460463]
10922 : 2027-01-20, [0.24641262404869257, 1.7690515683497416, 8.4845358076015653]
10923 : 2027-01-20, [0.24612951318443255, 1.8050564530103914, 8.698814033805176]
10924 : 2027-01-20, [0.23829431731411646, 1.8201927336117647, 8.9415129490741183]
10925 : 2027-01-20, [0.23721354353873708, 1.8576018582815694, 9.1551845981796944]
10926 : 2027-01-20, [0.2305511756251846, 1.8799986213004682, 9.3894502030743467]
10927 : 2027-01-20, [0.21799368492002097, 1.8894703416982763, 9.6425359733817029]
10928 : 2027-01-20, [0.20706821089660871, 1.9067642613453397, 9.886167527758051]
10929 : 2027-01-20, [0.18929225487352136, 1.9057079724706689, 10.15499977265581]
10930 : 2027-01-20, [0.16660179940118636, 1.8950863587998128, 10.438311841799003]
10931 : 2027-01-20, [0.22064874141992746, 2.0528578253830037, 10.476493433197069]
10932 : 2027-01-20, [0.21631799956954545, 2.082855762681151, 10.700826237749302]
10933 : 2027-01-20, [0.21788288969667433, 2.1296152597439955, 10.902501850559329]
10934 : 2027-01-20, [0.20979379321318134, 2.1505798465857167, 11.139626360201101]
10935 : 2027-01-20, [0.22059877181556772, 2.222837259805543, 11.306563968378889]
10936 : 2027-01-20, [0.20514954076815919, 2.229866721369187, 11.564983737862654]
10937 : 2027-01-20, [0.20919021993421158, 2.2836155251366974, 11.757194254929091]
10938 : 2027-01-20, [0.20284307566472864, 2.3167402260649221, 11.980416698270348]
10939 : 2027-01-20, [0.18478848989188673, 2.3208548567100702, 12.244356653398043]
10940 : 2027-01-20, [0.19243106058029991, 2.3920471986515572, 12.415521740768144]
10941 : 2027-01-20, [0.18466484965879151, 2.4250114960109967, 12.640323654330212]
10942 : 2027-01-20, [0.18006901583504734, 2.4607712521801854, 12.85915973198477]
