Itinerary: ['earth', 'earth', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2399  : 2023-02-01, [0.02314759571516047, 2.616025124311747, 22.11082727997309]
2400  : 2023-02-10, [0.40875965690227034, 1.2228733512078331, 8.368366991889896]
2401  : 2023-02-10, [0.4189797989952573, 1.2583242273244843, 8.572695973680258]
2402  : 2023-02-10, [0.42929339291494, 1.2943098600325593, 8.7763967470525]
2403  : 2023-02-10, [0.0013016548547367056, 1.3831170712378984, 9.365581273907365]
2404  : 2023-02-10, [0.0013319639101337267, 1.420402354969691, 9.578265681120175]
2405  : 2023-02-10, [0.0013625136535843137, 1.4590594074446792, 9.789578078901735]
2406  : 2023-02-10, [0.002785928113694133, 1.493151202866544, 10.004062869019762]
2407  : 2023-02-10, [0.004271113823675826, 1.5276356236790887, 10.218093262497234]
2408  : 2023-02-10, [0.004362928827979648, 1.567009919528613, 10.428627151643408]
2409  : 2023-02-10, [0.005938335644036621, 1.6003046706777657, 10.643756993678197]
2410  : 2023-02-10, [0.0060598458351592685, 1.6389088003923085, 10.855031353772532]
2411  : 2023-02-10, [0.007729028985574515, 1.674004045521549, 11.068266925492876]
2412  : 2023-02-10, [0.009459991605604519, 1.7092072802802383, 11.281332728114156]
2413  : 2023-02-10, [0.0112502580993564, 1.7441310895518034, 11.494618652348839]
2414  : 2023-02-10, [0.013102216695312896, 1.7781787576124077, 11.70871902569228]
2415  : 2023-02-10, [0.015012381553716871, 1.8119237600740126, 11.923063858372272]
2416  : 2023-02-10, [0.016985331926455356, 1.8470794971707423, 12.135935170902803]
2417  : 2023-02-10, [0.02075046605148336, 1.8756480661086838, 12.353601467839834]
2418  : 2023-02-10, [0.024631699896936685, 1.9041940114741753, 12.571174288628887]
2419  : 2023-02-10, [0.026843734987127506, 1.9379440476002194, 12.785212217412655]
2420  : 2023-02-10, [0.03094322939624271, 1.9662243314463723, 13.002832439157384]
2421  : 2023-02-10, [0.03699996342134756, 1.9874350777359258, 13.225564958842726]
2422  : 2023-02-10, [0.04135690151837804, 2.0133071285091573, 13.445335969972461]
2423  : 2023-02-10, [0.04583916228931698, 2.0411086060132955, 13.663052231697387]
2424  : 2023-02-10, [0.05236876693796622, 2.0593277488735247, 13.888303484188508]
2425  : 2023-02-10, [0.05907301786388196, 2.077638223278441, 14.113288758857678]
2426  : 2023-02-10, [0.06795754659770507, 2.089094526761264, 14.34294792664103]
2427  : 2023-02-10, [0.0750332978397691, 2.1055222995920366, 14.569444402568195]
2428  : 2023-02-10, [0.08432261892748669, 2.113788060774907, 14.801889320297605]
2429  : 2023-02-10, [0.09384500471009763, 2.1230964090097815, 15.033058586280122]
2430  : 2023-02-10, [0.10355625913822569, 2.128433495668599, 15.268010245193176]
2431  : 2023-02-10, [0.11775381208911706, 2.1206034598681414, 15.511642728042741]
2432  : 2023-02-10, [0.12792426195306453, 2.1240517517216815, 15.748023986325254]
2433  : 2023-02-10, [0.14266968600055685, 2.1110158775371994, 15.996314436462244]
2434  : 2023-02-10, [0.15552037531677748, 2.1065169110592046, 16.237962713624015]
2435  : 2023-02-10, [0.1730584495326511, 2.0843283400955377, 16.49261321037181]
2436  : 2023-02-10, [0.18856109275554223, 2.065728818910318, 16.74571008833414]
2437  : 2023-02-10, [0.20887424065723997, 2.0320791843424555, 17.009046575000305]
2438  : 2023-02-10, [0.06490704229728268, 2.765797436402246, 16.669295521300473]
2439  : 2023-02-10, [0.07071892398275148, 2.806214799064152, 16.8730662769531]
2440  : 2023-02-10, [0.06925678224331534, 2.8725174603035963, 17.058225757453087]
2441  : 2023-02-10, [0.07523215021685119, 2.9128608879791797, 17.26190696180397]
2442  : 2023-02-10, [0.07626226129317669, 2.9694309492611364, 17.45430678944569]
2443  : 2023-02-10, [0.07476591625631415, 3.0396330613248814, 17.635601022418804]
2444  : 2023-02-10, [0.07843290156995282, 3.0950424178230778, 17.826524680606973]
2445  : 2023-02-10, [0.07424067280820956, 3.178325914334938, 17.997433412856854]
2446  : 2023-02-10, [0.07793677828504499, 3.233495924629168, 18.188567297085786]
2447  : 2023-02-10, [0.07629659143764517, 3.3098029934421134, 18.36390041512024]
2448  : 2023-02-10, [0.07461526001172952, 3.3929127998162603, 18.53247194017201]
