Itinerary: ['earth', 'mars', 'pluto']
13094 : 2028-01-20, [0.1345860814882012, 13.365413918511798]
13095 : 2028-01-20, [0.15872146518168329, 13.591278534818317]
13096 : 2028-01-20, [0.1948443922390146, 13.805155607760984]
13097 : 2028-01-20, [0.22864601775034654, 14.021353982249652]
13098 : 2028-01-20, [0.4402841177989911, 14.059715882201008]
13099 : 2028-01-20, [0.46086910113360324, 14.289130898866397]
13100 : 2028-01-20, [0.4862631376092403, 14.51373686239076]
13101 : 2028-01-20, [0.5130716090138908, 14.73692839098611]
13102 : 2028-01-20, [0.7868076278257187, 14.713192372174282]
13103 : 2028-01-20, [0.8117075247655097, 14.93829247523449]
13104 : 2028-01-20, [0.8427475692111766, 15.157252430788825]
13105 : 2028-01-20, [0.8774167723125665, 15.372583227687436]
13106 : 2028-01-20, [0.9158531874442514, 15.584146812555746]
13107 : 2028-01-20, [0.9521177136853383, 15.797882286314662]
13108 : 2028-01-20, [0.9954000014210538, 16.004599998578946]
13109 : 2028-01-20, [1.06208151008654, 16.18791848991346]
13110 : 2028-01-20, [1.114153631380975, 16.385846368619028]
13111 : 2028-01-20, [1.1738492148865523, 16.576150785113445]
13112 : 2028-01-20, [0.10570307011154553, 17.894296929888455]
13113 : 2028-01-20, [0.1393037176907969, 18.110696282309203]
13114 : 2028-01-20, [0.18487469297158426, 18.315125307028413]
13115 : 2028-01-20, [0.23493346438028428, 18.515066535619717]
13116 : 2028-01-20, [0.3204987034907718, 18.679501296509226]
13117 : 2028-01-20, [0.3576222052885995, 18.8923777947114]
13118 : 2028-01-20, [0.4019070636846959, 19.098092936315304]
13119 : 2028-01-20, [0.45937805484316674, 19.290621945156836]
13120 : 2028-01-20, [0.515591035612524, 19.484408964387477]
13121 : 2028-01-20, [0.6003911358265319, 19.64960886417347]
13122 : 2028-01-20, [0.6814465816485666, 19.81855341835143]
13123 : 2028-01-20, [0.6621409871211641, 20.087859012878834]
13124 : 2028-01-20, [0.7088389349173552, 20.291161065082644]
13125 : 2028-01-20, [0.7766689372518564, 20.473331062748144]
