Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
98    : 2022-01-10, [0.17997109016724566, 3.6690878792001875, 15.650941030632568]
99    : 2022-01-10, [0.17412874574389683, 3.6770808147504974, 15.898790439505605]
100   : 2022-01-10, [0.1721097070908057, 3.7028499928150858, 16.125040300094106]
101   : 2022-01-10, [0.1679264247276096, 3.718807698633462, 16.363265876638927]
102   : 2022-01-10, [0.16356125325709422, 3.7340345659070056, 16.6024041808359]
103   : 2022-01-10, [0.15691051466502332, 3.739572057564953, 16.853517427770022]
104   : 2022-01-10, [0.15211651187632425, 3.751603641589344, 17.09627984653433]
105   : 2022-01-10, [0.4659296367616792, 2.532948588874858, 18.25112177436346]
106   : 2022-01-10, [0.4749387468971899, 2.5854415403023148, 18.439619712800496]
107   : 2022-01-10, [0.48398977490566036, 2.6380616497550573, 18.62794857533928]
108   : 2022-01-10, [0.49308946896181366, 2.6900469670108107, 18.816863564027372]
109   : 2022-01-10, [0.500227410683796, 2.729009835857213, 19.020762753458992]
110   : 2022-01-10, [0.5113187582744287, 2.7994721835320706, 19.1892090581935]
111   : 2022-01-10, [0.5207127445511182, 2.8546340810051656, 19.374653174443715]
112   : 2022-01-10, [0.5320902467370688, 2.9201303721110263, 19.547779381151905]
113   : 2022-01-10, [0.5416066333506343, 2.9762986564049485, 19.732094710244418]
114   : 2022-01-10, [0.5509959981732696, 3.030627223231093, 19.91837677859564]
115   : 2022-01-10, [0.5648287531104408, 3.110959301220535, 20.074211945669024]
116   : 2022-01-10, [0.5721874964752302, 3.153710483400923, 20.274102020123845]
117   : 2022-01-10, [0.5840404481898407, 3.223235801683291, 20.44272375012687]
118   : 2022-01-10, [0.5959451768569535, 3.292600473418219, 20.611454349724827]
119   : 2022-01-10, [0.6055762018517504, 3.34799018134932, 20.796433616798932]
120   : 2022-01-20, [0.2003391246411604, 0.8917496066051782, 8.907911268753661]
121   : 2022-01-20, [0.20389709846680948, 0.9061309527228587, 9.139971948810333]
122   : 2022-01-20, [0.20737914228245355, 0.9201094913736171, 9.372511366343929]
123   : 2022-01-20, [0.21079423298963115, 0.933725563569967, 9.605480203440402]
124   : 2022-01-20, [0.2129578861102933, 0.9394355734406046, 9.847606540449101]
125   : 2022-01-20, [0.21621578156822382, 0.9520283002530968, 10.08175591817868]
