Itinerary: ['earth', 'MARS_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
4476  : 2024-01-20, [0.6082855796971858, 3.7523860617803684, 14.639328358522448]
4477  : 2024-01-20, [0.6272809766224469, 3.7733279109026885, 14.849391112474866]
4478  : 2024-01-20, [0.6465134776416029, 3.7927123534061766, 15.06077416895222]
4479  : 2024-01-20, [0.6661201450461645, 3.8123208089707887, 15.271559045983048]
4480  : 2024-01-20, [0.6843004632732247, 3.8359051131577413, 15.479794423569032]
4481  : 2024-01-20, [0.706093756894248, 3.849891564236309, 15.694014678869442]
4482  : 2024-01-20, [0.7265068446743724, 3.8687715182960334, 15.904721637029594]
4483  : 2024-01-20, [0.7488885783485589, 3.8824511724520727, 16.11866024919937]
4484  : 2024-01-20, [0.7714541108588923, 3.8951722482517144, 16.333373640889395]
4485  : 2024-01-20, [0.794309716702588, 3.9080770753470286, 16.547613207950384]
4486  : 2024-01-20, [0.8173178890439479, 3.9200933688857287, 16.762588742070324]
4487  : 2024-01-20, [0.8424485909967167, 3.9289823826852746, 16.97856902631801]
4488  : 2024-01-20, [0.8658111839133061, 3.9399953061837176, 17.194193509902977]
4489  : 2024-01-20, [0.8910728812310168, 3.9465264793367294, 17.412400639432253]
4490  : 2024-01-20, [0.9146222746057127, 3.9564666395780375, 17.62891108581625]
4491  : 2024-01-20, [0.9417511941203833, 3.9575737361767955, 17.85067506970282]
4492  : 2024-01-20, [0.9670671270478531, 3.961743983727341, 18.071188889224803]
4493  : 2024-01-20, [0.9922772946363333, 3.965188600876185, 18.292534104487483]
4494  : 2024-01-20, [1.017972010080719, 3.964181165428522, 18.51784682449076]
4495  : 2024-01-20, [0.08722500876088578, 4.138268073308036, 19.52450691793108]
4496  : 2024-01-20, [0.5123314854394811, 2.244090957424106, 21.243577557136412]
4497  : 2024-01-20, [0.5226003583783422, 2.2389850391157413, 21.48841460250592]
4498  : 2024-01-20, [0.6723151523666734, 4.5225166479028225, 19.305168199730502]
4499  : 2024-01-20, [0.6857663182997316, 4.5414898645693995, 19.52274381713087]
4500  : 2024-02-01, [0.2594180759723341, 0.5438473515852299, 9.196734572442436]
4501  : 2024-02-01, [0.26785403346397013, 0.5468512915837901, 9.435294674952239]
4502  : 2024-02-01, [0.27639690349590884, 0.5493484676144393, 9.674254628889653]
4503  : 2024-02-01, [0.28592791678701535, 0.5476135561706724, 9.916458527042312]
4504  : 2024-02-01, [0.2947118470954238, 0.54902632878366, 10.156261824120916]
4505  : 2024-02-01, [0.30363898915133875, 0.5498416929755329, 10.396519317873128]
4506  : 2024-02-01, [0.3136030359780371, 0.5463901793243809, 10.640006784697583]
4507  : 2024-02-01, [0.3223643058804805, 0.5715894714632308, 10.856046222656289]
4508  : 2024-02-01, [0.3267305753199453, 0.7772161115959796, 10.896053313084076]
4509  : 2024-02-01, [0.28661219436824603, 2.46642697731069, 9.496960828321065]
4510  : 2024-02-01, [0.29552879554984846, 2.5045499198411, 9.69992128460905]
4511  : 2024-02-01, [0.3037477887404505, 2.5424909113840224, 9.903761299875528]
4512  : 2024-02-01, [0.3670995485999589, 0.7990162797581887, 11.833884171641852]
4513  : 2024-02-01, [0.37724262958714516, 0.8036510723991331, 12.069106298013722]
4514  : 2024-02-01, [0.38871496311850473, 0.8036400763815346, 12.307644960499962]
4515  : 2024-02-01, [0.39914122363817606, 0.8073876235470279, 12.543471152814796]
4516  : 2024-02-01, [0.41097190849826654, 0.8063717574305457, 12.782656334071188]
4517  : 2024-02-01, [0.4217225553251903, 0.809096060896436, 13.019181383778374]
4518  : 2024-02-01, [0.43393888148203164, 0.8071518055077461, 13.258909313010223]
4519  : 2024-02-01, [0.4463432272876242, 0.8041879997891757, 13.4994687729232]
4520  : 2024-02-01, [0.46035556607454337, 0.7958249157941563, 13.7438195181313]
4521  : 2024-02-01, [0.4732475223568919, 0.7921776794562824, 13.984574798186825]
4522  : 2024-02-01, [0.486283009053894, 0.7874963164947419, 14.226220674451364]
4523  : 2024-02-01, [0.4995540306018405, 0.7825320501844161, 14.467913919213743]
4524  : 2024-02-01, [0.5145325030780633, 0.7725648149922666, 14.71290268192967]
4525  : 2024-02-01, [0.5296660260820164, 0.7656541999620248, 14.95467977395596]
4526  : 2024-02-01, [0.4560259201950149, 3.3287026312461876, 12.715271448558799]
4527  : 2024-02-01, [0.4826959014985277, 2.997386884054235, 13.269917214447238]
4528  : 2024-02-01, [0.4973108957703604, 3.0157031558155163, 13.486985948414123]
4529  : 2024-02-01, [0.5879530731447923, 0.8129171834228298, 15.849129743432378]
4530  : 2024-02-01, [0.5056077304472374, 3.540967634168815, 13.453424635383948]
4531  : 2024-02-01, [0.5203125203744378, 3.5603188295895043, 13.669368650036057]
4532  : 2024-02-01, [0.5343580274556754, 3.6089487797101767, 13.856693192834149]
4533  : 2024-02-01, [0.5490504919176934, 3.6400812671358036, 14.060868240946505]
4534  : 2024-02-01, [0.5655202940287521, 3.6668168841752617, 14.267662821795986]
4535  : 2024-02-01, [0.5822091700800599, 3.692494899378627, 14.47529593054131]
4536  : 2024-02-01, [0.5991902379685539, 3.7177059493901843, 14.683103812641264]
4537  : 2024-02-01, [0.6163941795881863, 3.742304045747748, 14.891301774664067]
4538  : 2024-02-01, [0.6354994844922998, 3.76262807003659, 15.101872445471109]
4539  : 2024-02-01, [0.6532098880769844, 3.7864622376249497, 15.310327874298068]
4540  : 2024-02-01, [0.6728443879581953, 3.8055849217209823, 15.521570690320823]
4541  : 2024-02-01, [0.6927253338458377, 3.824510392796775, 15.732764273357388]
4542  : 2024-02-01, [0.714492474070564, 3.8382485790056373, 15.9472589469238]
4543  : 2024-02-01, [0.7349589413541656, 3.8574829802028012, 16.157558078443035]
4544  : 2024-02-01, [0.7555036969145987, 3.8746971194107775, 16.369799183674623]
4545  : 2024-02-01, [0.7779882869329747, 3.887792406802796, 16.584219306264227]
4546  : 2024-02-01, [0.8006155742354887, 3.899508668764128, 16.799875757000382]
4547  : 2024-02-01, [0.8234159829521674, 3.911101205370151, 17.015482811677682]
4548  : 2024-02-01, [0.8463534887378996, 3.922506126756208, 17.231140384505892]
4549  : 2024-02-01, [0.8711484477605255, 3.9283365305948843, 17.450515021644588]
