Itinerary: ['earth', 'mars', 'saturn', 'pluto']
case #: launch date, tof of each leg
2265  : 2023-01-10, [0.17983692532422865, 2.9155811018090096, 18.15458197286676]
2266  : 2023-01-10, [0.18608652535061201, 2.931534239663037, 18.38237923498635]
2267  : 2023-01-10, [0.1902136145262941, 2.955319414301726, 18.60446697117198]
2268  : 2023-01-10, [0.19547739876007905, 2.9745716558388695, 18.829950945401052]
2269  : 2023-01-10, [0.20078144731972108, 2.9930957491501564, 19.056122803530123]
2270  : 2023-01-10, [0.20726168020569244, 3.007328525809691, 19.285409793984613]
2271  : 2023-01-10, [0.21268497085035037, 3.0253638207527502, 19.511951208396898]
2272  : 2023-01-10, [0.21814786441907866, 3.042952135066399, 19.738900000514526]
2273  : 2023-01-10, [0.22364731957303252, 3.059790116437036, 19.966562563989935]
2274  : 2023-01-10, [0.2292302233901244, 3.0776324589442936, 20.19313731766558]
2275  : 2023-01-10, [0.23598721580025767, 3.0896575161482427, 20.4243552680515]
2276  : 2023-01-10, [0.2416385184283708, 3.105551740780445, 20.652809740791184]
2277  : 2023-01-10, [0.2485220027480898, 3.116992013018776, 20.884485984233137]
2278  : 2023-01-10, [0.4862016772042385, 2.494502416499851, 21.51929590629591]
2279  : 2023-01-10, [0.4947108659684042, 2.5054005534331596, 21.749888580598437]
2280  : 2023-01-20, [0.09482727291874274, 1.3793236696832627, 8.525849057397995]
2281  : 2023-01-20, [0.09928232339045306, 1.4062638393705846, 8.744453837238963]
2282  : 2023-01-20, [0.10384813391558848, 1.430236689140619, 8.965915176943794]
2283  : 2023-01-20, [0.10903201262549272, 1.455533346910887, 9.18543464046362]
2284  : 2023-01-20, [0.11375843945345458, 1.4810517864889936, 9.405189774057552]
2285  : 2023-01-20, [0.11857450718051901, 1.5059917424542166, 9.625433750365264]
2286  : 2023-01-20, [0.12347605110199811, 1.5306468072552268, 9.845877141642775]
2287  : 2023-01-20, [0.12846220734454994, 1.555040900671245, 10.066496891984205]
2288  : 2023-01-20, [0.13353441761524862, 1.5787448128905868, 10.287720769494165]
2289  : 2023-01-20, [0.04355231671876273, 1.8962942217882048, 10.310153461493032]
2290  : 2023-01-20, [0.13774225167999765, 1.6586572923856993, 10.703600455934302]
2291  : 2023-01-20, [0.14298685291104127, 1.6825693785284863, 10.924443768560472]
2292  : 2023-01-20, [0.14832295883014857, 1.7060058710388404, 11.14567117013101]
2293  : 2023-01-20, [0.15373074538344608, 1.7290797784079257, 11.367189476208628]
2294  : 2023-01-20, [0.15853463788955172, 1.7542429193264961, 11.58722244278395]
2295  : 2023-01-20, [0.16411194175000476, 1.776744360016867, 11.809143698233129]
2296  : 2023-01-20, [0.16976650177608923, 1.7986111318129843, 12.031622366410927]
2297  : 2023-01-20, [0.17550278346104362, 1.8198832037357002, 12.254614012803255]
2298  : 2023-01-20, [0.18131415636813386, 1.8408645398945105, 12.477821303737354]
2299  : 2023-01-20, [0.1872136228815827, 1.8615044035441524, 12.701281973574266]
2300  : 2023-01-20, [0.19245405935835988, 1.884822120329384, 12.922723820312255]
2301  : 2023-01-20, [0.1985087765003105, 1.9047225813349526, 13.146768642164735]
2302  : 2023-01-20, [0.20464235523065136, 1.9239765094763426, 13.371381135293005]
2303  : 2023-01-20, [0.2116256997861978, 1.9394977098639117, 13.59887659034989]
2304  : 2023-01-20, [0.21794333212937048, 1.9581383465300604, 13.82391832134057]
2305  : 2023-01-20, [0.22353283922364953, 1.9793842329722406, 14.04708292780411]
2306  : 2023-01-20, [0.22998927897954397, 1.9970992276274289, 14.272911493393025]
2307  : 2023-01-20, [0.23654483930997516, 2.01430010703147, 14.499155053658555]
2308  : 2023-01-20, [0.24398669287283267, 2.027032770209792, 14.728980536917375]
2309  : 2023-01-20, [0.2507225951123485, 2.043284575645802, 14.955992829241849]
2310  : 2023-01-20, [0.2575269762473907, 2.0591874182705294, 15.183285605482082]
2311  : 2023-01-20, [0.26355660672285286, 2.0782211096615217, 15.408222283615626]
2312  : 2023-01-20, [0.2713847871026624, 2.088856921312463, 15.639758291584874]
2313  : 2023-01-20, [0.2784533910033538, 2.1031893693456754, 15.86835723965097]
2314  : 2023-01-20, [0.28559289449340597, 2.116672873589336, 16.09773423191726]
2315  : 2023-01-20, [0.2928343121666651, 2.1300252706614975, 16.327140417171837]
2316  : 2023-01-20, [0.300158648873948, 2.142327435582242, 16.55751391554381]
2317  : 2023-01-20, [0.30758412142170893, 2.154722804471778, 16.78769307410651]
2318  : 2023-01-20, [0.31507316394038226, 2.1661581036251993, 17.01876873243442]
2319  : 2023-01-20, [0.8275527134941334, 2.9425881270364163, 15.979859159469452]
2320  : 2023-01-20, [0.068719697885489, 3.0905677100367304, 16.84071259207778]
2321  : 2023-01-20, [0.07100606841938277, 3.11965483062244, 17.059339100958177]
2322  : 2023-01-20, [0.0727025915025737, 3.1529169409972337, 17.27438046750019]
2323  : 2023-01-20, [0.07547008189956075, 3.181807600168479, 17.492722317931964]
2324  : 2023-01-20, [0.07732690480529371, 3.2140197353166475, 17.708653359878056]
2325  : 2023-01-20, [0.08031331927007333, 3.242354343952113, 17.927332336777813]
2326  : 2023-01-20, [0.08338689604201299, 3.2704338520801253, 18.146179251877864]
2327  : 2023-01-20, [0.08652878605134892, 3.298222975736814, 18.36524823821184]
2328  : 2023-01-20, [0.08973434557140332, 3.325928755620629, 18.584336898807965]
2329  : 2023-01-20, [0.09181213751438537, 3.3571996895368086, 18.800988172948806]
2330  : 2023-01-20, [0.09511064652561153, 3.3843637931404196, 19.020525560333972]
2331  : 2023-01-20, [0.09845395898826982, 3.4111686807297636, 19.240377360281965]
2332  : 2023-01-20, [0.10305647616775561, 3.433296654141913, 19.463646869690333]
2333  : 2023-01-20, [0.10527474657856709, 3.46375883090554, 19.68096642251589]
2334  : 2023-01-20, [0.10998300533161476, 3.484959137095732, 19.905057857572654]
2335  : 2023-01-20, [0.11351521112683391, 3.510915755184146, 20.12556903368902]
2336  : 2023-01-20, [0.11709192385464527, 3.5367608406381783, 20.346147235507175]
2337  : 2023-01-20, [0.12069745187474454, 3.5612138951382923, 20.56808865298696]
2338  : 2023-01-20, [0.12434780276574835, 3.5864338196984775, 20.78921837753578]
2339  : 2023-01-20, [0.12932435775752044, 3.606206209965082, 21.014469432277398]
2340  : 2023-02-01, [0.08526222133839013, 1.3607449950770336, 8.553992783584576]
2341  : 2023-02-01, [0.08947120889169638, 1.3871110827462272, 8.773417708362077]
2342  : 2023-02-01, [0.0937656123039154, 1.4128428859441624, 8.993391501751923]
2343  : 2023-02-01, [0.09815470933175857, 1.438248448332728, 9.213596842335514]
2344  : 2023-02-01, [0.10262821390914852, 1.463191439355896, 9.434180346734955]
2345  : 2023-02-01, [0.10718783724050718, 1.4877108500275558, 9.655101312731937]
2346  : 2023-02-01, [0.11183779898899635, 1.5118732154261803, 9.876288985584823]
2347  : 2023-02-01, [0.11718080331747673, 1.5333072069129747, 10.09951198976955]
2348  : 2023-02-01, [0.1220087195276121, 1.5563777078964498, 10.32161357257594]
2349  : 2023-02-01, [0.126930448636979, 1.5793007644108767, 10.543768786952144]
2350  : 2023-02-01, [0.13193728311184202, 1.6016462717851332, 10.766416445103026]
2351  : 2023-02-01, [0.13767034169530518, 1.620929090871039, 10.991400567433656]
2352  : 2023-02-01, [0.14286248070485477, 1.64243521182553, 11.214702307469615]
2353  : 2023-02-01, [0.14812925569089702, 1.663404144933617, 11.438466599375486]
2354  : 2023-02-01, [0.1534807821533281, 1.683953997255987, 11.662565220590684]
2355  : 2023-02-01, [0.1596028402884788, 1.7012255811074162, 11.889171578604104]
2356  : 2023-02-01, [0.16513425065534598, 1.7208653731061285, 12.114000376238526]
2357  : 2023-02-01, [0.1707525656555346, 1.7399082535968036, 12.339339180747661]
2358  : 2023-02-01, [0.6269298659648133, 2.088441442715865, 11.784628691319321]
2359  : 2023-02-01, [0.053741699098268016, 2.189319877154641, 12.50693842374709]
2360  : 2023-02-01, [0.17664187061772904, 1.8617437139119266, 12.961614415470343]
2361  : 2023-02-01, [0.18246447790165382, 1.880996691012438, 13.186538831085908]
2362  : 2023-02-01, [0.18836383828254333, 1.900151859317749, 13.411484302399709]
2363  : 2023-02-01, [0.19356663177462222, 1.9217332411650665, 13.634700127060311]
2364  : 2023-02-01, [0.20040838263221597, 1.9362627698498274, 13.863328847517957]
2365  : 2023-02-01, [0.20576901032886435, 1.957414267545955, 14.086816722125182]
2366  : 2023-02-01, [0.2119924707061095, 1.9746525134756128, 14.313355015818278]
2367  : 2023-02-01, [0.21830535638454107, 1.991258071562019, 14.54043657205344]
2368  : 2023-02-01, [0.22470360453627058, 2.0071722774493637, 14.768124118014367]
2369  : 2023-02-01, [0.23119180651806656, 2.0228807253462833, 14.995927468135651]
2370  : 2023-02-01, [0.2377655773866444, 2.038345132443907, 15.22388929016945]
2371  : 2023-02-01, [0.2444267373950717, 2.053100877284017, 15.45247238532091]
2372  : 2023-02-01, [0.25118401432753584, 2.067441367016447, 15.681374618656019]
2373  : 2023-02-01, [0.2580166696735895, 2.0809348833865116, 15.9110484469399]
2374  : 2023-02-01, [0.2649524406843543, 2.094287382166197, 16.14076017714945]
2375  : 2023-02-01, [0.27199212220982055, 2.1069846109943775, 16.3710232667958]
2376  : 2023-02-01, [0.27910241703113753, 2.1192621521115496, 16.60163543085731]
2377  : 2023-02-01, [0.28631282144920583, 2.130818478461108, 16.832868700089687]
2378  : 2023-02-01, [0.2936377673060924, 2.1419966392620573, 17.06436559343185]
2379  : 2023-02-01, [0.30102327806281776, 2.152386195101016, 17.296590526836166]
2380  : 2023-02-01, [0.3085576796469398, 2.1626050393284557, 17.528837281024604]
2381  : 2023-02-01, [0.31615195275493024, 2.1717233614435822, 17.76212468580149]
2382  : 2023-02-01, [0.32388624668087146, 2.1811195372442014, 17.994994216074925]
2383  : 2023-02-01, [0.332743391604561, 2.1843689181476136, 18.232887690247825]
2384  : 2023-02-01, [0.3406784730589635, 2.1918181834557013, 18.467503343485333]
2385  : 2023-02-01, [0.3487490580024905, 2.1991664425663284, 18.70208449943118]
2386  : 2023-02-01, [0.35691329024731544, 2.205536959555172, 18.937549750197512]
2387  : 2023-02-01, [0.3663267388278598, 2.2058855629402214, 19.17778769823192]
2388  : 2023-02-01, [0.37474332122975845, 2.2110101909155193, 19.414246487854722]
2389  : 2023-02-01, [0.3832983899036573, 2.2153428453614348, 19.65135876473491]
2390  : 2023-02-01, [0.39196855510629613, 2.219346254288019, 19.888685190605685]
2391  : 2023-02-01, [0.40077840445409224, 2.222830226288569, 20.126391369257338]
2392  : 2023-02-01, [0.9596976739904779, 3.2994956844222014, 18.740806641587323]
2393  : 2023-02-01, [0.9701829354244994, 3.3253385761380074, 18.95447848843749]
2394  : 2023-02-01, [0.08118809058943052, 3.488441072925578, 19.93037083648499]
2395  : 2023-02-01, [0.08317250753400873, 3.5143802887746745, 20.152447203691317]
2396  : 2023-02-01, [0.08678880549761665, 3.53523743260909, 20.377973761893294]
2397  : 2023-02-01, [0.08979991567612973, 3.560860913112938, 20.599339171210932]
2398  : 2023-02-01, [0.09177124526260604, 3.590099919341786, 20.818128835395612]
2399  : 2023-02-01, [0.09620229549390943, 3.6099263945090825, 21.04387130999701]
2400  : 2023-02-10, [0.07778312259115674, 1.3482988986867481, 8.573917978722095]
2401  : 2023-02-10, [0.08179844997399022, 1.3741495436495896, 8.79405200637642]
2402  : 2023-02-10, [0.08590591529047073, 1.3994966582233987, 9.01459742648613]
2403  : 2023-02-10, [0.09010400837247426, 1.4244543507959377, 9.235441640831588]
2404  : 2023-02-10, [0.09439003123485834, 1.4489883091242846, 9.456621659640856]
2405  : 2023-02-10, [0.09876772362448524, 1.4731629476214054, 9.678069328754109]
2406  : 2023-02-10, [0.10323462373808893, 1.4969445643557147, 9.899820811906196]
2407  : 2023-02-10, [0.10778936615268771, 1.5201621318253542, 10.122048502021958]
2408  : 2023-02-10, [0.11243353547648335, 1.5431485346053537, 10.344417929918162]
2409  : 2023-02-10, [0.11716319142949586, 1.5656999506699367, 10.567136857900568]
2410  : 2023-02-10, [0.12197862093523583, 1.587657883213675, 10.790363495851091]
2411  : 2023-02-10, [0.1275265504805506, 1.6065710392593688, 11.01590241026008]
2412  : 2023-02-10, [0.13253096958212024, 1.627685643376879, 11.239783387041001]
2413  : 2023-02-10, [0.13761550941581177, 1.6482957685246147, 11.464088722059573]
2414  : 2023-02-10, [0.14278350501238915, 1.6684442440126468, 11.688772250974964]
2415  : 2023-02-10, [0.14873282057849468, 1.6853555180101023, 11.915911661411402]
2416  : 2023-02-10, [0.15409030200950682, 1.7044531732052008, 12.14145652478529]
2417  : 2023-02-10, [0.15952909862376294, 1.723238793949146, 12.367232107427093]
2418  : 2023-02-10, [0.16505174060394437, 1.741359076792482, 12.593589182603573]
2419  : 2023-02-10, [0.17140051378011434, 1.7561426759057197, 12.822456810314165]
2420  : 2023-02-10, [0.17710468481153283, 1.7732521308021574, 13.04964318438631]
2421  : 2023-02-10, [0.18290998973395245, 1.7900353660031791, 13.277054644262869]
2422  : 2023-02-10, [0.18955955931512394, 1.8026670056477567, 13.507773435037121]
2423  : 2023-02-10, [0.1955395753062753, 1.8183058002271921, 13.736154624466533]
2424  : 2023-02-10, [0.20160882013971804, 1.8334702584861848, 13.964920921374098]
2425  : 2023-02-10, [0.207752127258498, 1.8480145257083238, 14.19423334703318]
2426  : 2023-02-10, [0.7120923808906053, 2.301221187671416, 13.486686431437978]
2427  : 2023-02-10, [0.06270617450803784, 2.396787718243065, 14.290506107248898]
2428  : 2023-02-10, [0.21070464638499697, 1.9901372993024142, 14.799158054312588]
2429  : 2023-02-10, [0.2170245612643551, 2.0056830833873165, 15.027292355348328]
2430  : 2023-02-10, [0.22343406440007715, 2.020522291637931, 15.256043643961991]
2431  : 2023-02-10, [0.22905911859285427, 2.038810866307608, 15.482130015099537]
2432  : 2023-02-10, [0.23562843502689768, 2.052681904305551, 15.71168966066755]
2433  : 2023-02-10, [0.24230993877364337, 2.0662386423963106, 15.941451418830045]
2434  : 2023-02-10, [0.24908538649961032, 2.079050756411846, 16.171863857088542]
2435  : 2023-02-10, [0.25594583119840625, 2.091532548190967, 16.402521620610628]
2436  : 2023-02-10, [0.2619632252671785, 2.1078553666120308, 16.63018140812079]
2437  : 2023-02-10, [0.26996910897895876, 2.114822340011417, 16.865208551009626]
2438  : 2023-02-10, [0.27614661459096806, 2.1299649980731243, 17.09388838733591]
2439  : 2023-02-10, [0.28340342255105766, 2.1406264930252537, 17.32597008442369]
2440  : 2023-02-10, [0.2917455615904435, 2.1454088739159065, 17.56284556449365]
2441  : 2023-02-10, [0.29819003201026645, 2.159273017167401, 17.79253695082233]
2442  : 2023-02-10, [0.30576789828680484, 2.1684027855834542, 18.02582931612974]
2443  : 2023-02-10, [0.31448609271578126, 2.171345752541943, 18.264168154742276]
2444  : 2023-02-10, [0.32227265415341877, 2.1785190894652877, 18.499208256381294]
2445  : 2023-02-10, [0.3301964853218167, 2.1855885272513196, 18.734214987426864]
2446  : 2023-02-10, [0.3382177780305211, 2.1916751189627317, 18.970107103006747]
2447  : 2023-02-10, [0.3463755591778642, 2.1976115831205147, 19.20601285770162]
2448  : 2023-02-10, [0.3546480037936749, 2.2023173951236057, 19.44303460108272]
2449  : 2023-02-10, [0.3642019097299224, 2.200851321371423, 19.684946768898655]
2450  : 2023-02-10, [0.3727488813727937, 2.204605797927592, 19.922645320699615]
2451  : 2023-02-10, [0.3814279209270797, 2.2074546839468923, 20.161117395126027]
2452  : 2023-02-10, [0.39024226315694627, 2.210361956635093, 20.399395780207964]
2453  : 2023-02-10, [0.3992006561585133, 2.2120553843511277, 20.63874395949036]
2454  : 2023-02-10, [0.4095841943656507, 2.2070988416260153, 20.883316964008333]
2455  : 2023-02-10, [0.4188434107524124, 2.207076179273572, 21.124080409974017]
2456  : 2023-02-10, [0.4282487933737929, 2.206763620274225, 21.36498758635198]
2457  : 2023-02-10, [0.43914068855356725, 2.19861825147555, 21.61224105997088]
2458  : 2023-02-10, [0.4503166683979057, 2.1903172401075173, 21.85936609149458]
2459  : 2023-02-10, [0.460258930864606, 2.187993016514402, 22.10174805262099]
2460  : 2023-02-20, [0.06954876989376287, 1.3336795608981276, 8.59677166920811]
2461  : 2023-02-20, [0.0733608637268404, 1.3589937025443974, 8.817645433728762]
2462  : 2023-02-20, [0.07726533971759057, 1.3839156615764072, 9.038818998706002]
2463  : 2023-02-20, [0.08070467518419072, 1.4107929266841712, 9.258502398131638]
2464  : 2023-02-20, [0.08534757933720227, 1.432544280576551, 9.482108140086247]
2465  : 2023-02-20, [0.08894384974957448, 1.4585477088437362, 9.702508441406689]
2466  : 2023-02-20, [0.09320003226780123, 1.48190868962856, 9.924891278103638]
2467  : 2023-02-20, [0.09754873063538913, 1.504903663542862, 10.147547605821748]
2468  : 2023-02-20, [0.10198138375568926, 1.5272433061583357, 10.370775310085977]
2469  : 2023-02-20, [0.10650990845185712, 1.5494260161582238, 10.594064075389918]
2470  : 2023-02-20, [0.11112134382347828, 1.5709374602035135, 10.817941195973008]
2471  : 2023-02-20, [0.11647164733756776, 1.5894063718390485, 11.044121980823384]
2472  : 2023-02-20, [0.12127868592445275, 1.6100971512944307, 11.268624162781116]
2473  : 2023-02-20, [0.12616560934857135, 1.6302393652660359, 11.49359502538539]
2474  : 2023-02-20, [0.1311454001693109, 1.6501836407719639, 11.718670959058725]
2475  : 2023-02-20, [0.13621184212013393, 1.6693016342340905, 11.944486523645775]
2476  : 2023-02-20, [0.14136852911666087, 1.6881772663347128, 12.170454204548628]
2477  : 2023-02-20, [0.14660340225684398, 1.7064818903712697, 12.396914707371888]
2478  : 2023-02-20, [0.152667279536921, 1.7211789855746262, 12.626153734888451]
2479  : 2023-02-20, [0.15809784803482949, 1.738375619536425, 12.853526532428743]
2480  : 2023-02-20, [0.16362342390494983, 1.7551630890105923, 13.081213487084458]
2481  : 2023-02-20, [0.169230708304592, 1.7713891016016894, 13.309380190093718]
2482  : 2023-02-20, [0.1757061220344154, 1.7835536007832178, 13.540740277182367]
2483  : 2023-02-20, [0.18150814133396304, 1.798754536993022, 13.769737321673016]
2484  : 2023-02-20, [0.18740247325278575, 1.81347328286411, 13.999124243883104]
2485  : 2023-02-20, [0.19420347333259014, 1.824074234046643, 14.23172229262077]
2486  : 2023-02-20, [0.20028855471191212, 1.8371984125568828, 14.462513032731206]
2487  : 2023-02-20, [0.20646738635969458, 1.850259016135261, 14.693273597505044]
2488  : 2023-02-20, [0.21361111279211623, 1.8588388424452726, 14.927550044762611]
2489  : 2023-02-20, [0.21999390794391166, 1.8703024408262874, 15.159703651229801]
2490  : 2023-02-20, [0.22647711916306118, 1.881493855201765, 15.392029025635175]
2491  : 2023-02-20, [0.23394999853174134, 1.8877158772901148, 15.628334124178142]
2492  : 2023-02-20, [0.24065039246944378, 1.8977662720280741, 15.86158333550248]
