Itinerary: ['earth', 'mars', 'earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
103   : 2022-01-10, [0.4631782852313284, 0.9336064445795174, 1.1315790477035603, 18.221636222485596]
104   : 2022-01-10, [0.672880659560434, 0.4411927156390938, 1.8427413893282403, 18.04318523547223]
105   : 2022-01-10, [0.68595935532999, 0.447610372861324, 1.8268998865488262, 18.289530385259862]
106   : 2022-01-10, [0.7013294353557572, 0.45926518027013175, 1.8091676186608103, 18.530237765713302]
107   : 2022-01-10, [0.7582657689984577, 0.622772805145081, 3.0197461036397906, 17.349215322216672]
108   : 2022-01-10, [0.8627346264787346, 0.8634519940104636, 2.6350187056551433, 17.638794673855656]
109   : 2022-01-10, [0.8818934866953235, 0.8770457725201494, 2.6330034089662244, 17.858057331818305]
110   : 2022-01-10, [0.9041798663610857, 0.8851969707615854, 2.61298810299288, 18.09763505988445]
111   : 2022-01-10, [0.929076219979223, 0.8985240276674836, 2.5948457451573366, 18.327554007195957]
112   : 2022-01-10, [0.949884398205773, 0.9133039908151636, 2.577900145551524, 18.55891146542754]
113   : 2022-01-10, [1.353829200584358, 0.34549048664531307, 1.544387839837326, 20.006292472933]
114   : 2022-01-10, [1.3961637350280989, 0.3339029834436485, 1.463654733020483, 20.306278548507773]
115   : 2022-01-10, [1.4343714607636153, 0.32252302278496225, 1.4035162103376522, 20.589589306113773]
116   : 2022-01-10, [1.474725061380768, 0.3068110263186841, 1.3172369842387084, 20.901226928061842]
117   : 2022-01-10, [1.5154913897705493, 0.2862189575531489, 1.2280719548574515, 21.220217697818853]
118   : 2022-01-10, [0.13767541498618102, 0.28073126667697024, 1.1983071539755805, 22.88328616436127]
119   : 2022-01-10, [0.3481995660636173, 0.3050676810925666, 0.8651111945115715, 23.231621558332243]
120   : 2022-01-20, [0.2690139531890936, 0.09412083170112048, 0.6628266110246684, 8.974038604085118]
121   : 2022-01-20, [0.27748254032473657, 0.09481717141957455, 0.6712850190727723, 9.206415269182918]
122   : 2022-01-20, [0.2864006838971049, 0.09416599407325835, 0.6767548966969053, 9.442678425332732]
123   : 2022-01-20, [0.29522100818744496, 0.09469055623471076, 0.6837972786146447, 9.6762911569632]
124   : 2022-01-20, [0.30522582096749645, 0.09469571422592596, 0.6878848126953787, 9.912193652111197]
125   : 2022-01-20, [0.3145639897595544, 0.09517424869913713, 0.6916503878314558, 10.148611373709853]
126   : 2022-01-20, [0.32483209689973436, 0.09503047778753648, 0.6937197215157695, 10.38641770379696]
127   : 2022-01-20, [0.3351279140947273, 0.09478226682312173, 0.6985767057264302, 10.621513113355721]
128   : 2022-01-20, [0.3448731236781621, 0.09508447953975907, 0.7003141796836108, 10.859728217098468]
129   : 2022-01-20, [0.37238485202857335, 0.5543922042019962, 0.48588062482777145, 10.837342318941658]
130   : 2022-01-20, [0.3840309881580599, 0.5608225651155941, 0.4801327365608559, 11.07501371016549]
131   : 2022-01-20, [0.3959044136227291, 0.5689427327842517, 0.4745762932452109, 11.31057656034781]
132   : 2022-01-20, [0.40797829454502316, 0.5769732666541131, 0.4633626162822201, 11.551685822518644]
133   : 2022-01-20, [0.42141841047267636, 0.5842025774670306, 0.45596029344457895, 11.788418718615715]
134   : 2022-01-20, [0.4351495974314421, 0.5913676203297575, 0.4426945107952508, 12.030788271443548]
135   : 2022-01-20, [0.4490198587084378, 0.5982712124638822, 0.427505210591855, 12.275203718235826]
136   : 2022-01-20, [0.46196260490102387, 0.6059066628668093, 0.41152113273437324, 12.520609599497792]
137   : 2022-01-20, [0.47645269677521823, 0.61280318283673, 0.39629476393123303, 12.764449356456819]
138   : 2022-01-20, [0.4367451656025047, 0.5506112600183776, 1.9698983155057157, 11.542745258873401]
139   : 2022-01-20, [0.48342922513520703, 0.5213328693544897, 2.057208425720282, 11.68802947979002]
140   : 2022-01-20, [0.5002551889168759, 0.5268224504052501, 2.0686744047041223, 11.904247955973752]
141   : 2022-01-20, [0.5173314401918185, 0.5321363975556127, 2.0774074224050536, 12.123124739847515]
142   : 2022-01-20, [0.5364506818086457, 0.5369942419284013, 2.0805800811264596, 12.345974995136492]
143   : 2022-01-20, [0.5745519624460148, 0.5239190009253977, 2.0234142755005142, 12.628114761128073]
144   : 2022-01-20, [0.5966276839118239, 0.5299204552767378, 2.020451015086366, 12.853000845725072]
145   : 2022-01-20, [0.6199715845014765, 0.5321666768993041, 2.0086747371189952, 13.089187001480223]
146   : 2022-01-20, [0.6448582448871739, 0.5375492106624331, 1.9969610607200592, 13.320631483730333]
147   : 2022-01-20, [0.671137913142553, 0.5390139050146207, 1.9760718670825639, 13.563776314760265]
148   : 2022-01-20, [0.6990805778288564, 0.5436779493553769, 1.9546897865376893, 13.802551686278079]
149   : 2022-01-20, [0.7276705654473418, 0.5458971437065491, 1.9312920392837853, 14.045140251562325]
150   : 2022-01-20, [0.7591065082786349, 0.5499085008964055, 1.8956839566043233, 14.295301034220635]
151   : 2022-01-20, [0.7905308553318279, 0.5531615333418172, 1.8608163766023595, 14.545491234723997]
152   : 2022-01-20, [0.8225393538387473, 0.5561018905822812, 1.8245627488972829, 14.796796006681689]
153   : 2022-01-20, [0.8579711816406412, 0.5616028662645226, 1.7822476078941538, 15.04817834420068]
