Itinerary: ['earth', 'JUPITER_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2329  : 2023-01-20, [2.1800656022019878, 4.504903087552453, 15.565031310245558]
2330  : 2023-01-20, [2.212433795287811, 4.556220732842037, 15.731345471870151]
2331  : 2023-01-20, [2.2451210664711, 4.60753500151024, 15.89734393201866]
2332  : 2023-01-20, [2.2780135475381424, 4.659388788160498, 16.06259766430136]
2333  : 2023-01-20, [2.3111095936851807, 4.7113983639359995, 16.227492042378817]
2334  : 2023-01-20, [2.3444085126165373, 4.763566792516347, 16.392024694867114]
2335  : 2023-01-20, [2.377868666329827, 4.816232960089901, 16.55589837358027]
2336  : 2023-01-20, [2.412404409238598, 4.8680127849859876, 16.719582805775413]
2337  : 2023-01-20, [2.446458534811399, 4.92139477245218, 16.88214669273642]
2338  : 2023-01-20, [2.4813875999658253, 4.973868494507076, 17.0447439055271]
2339  : 2023-01-20, [2.5165822985365787, 5.026612198648465, 17.206805502814955]
2340  : 2023-02-01, [0.828685618193084, 2.0529838928437214, 7.118330488963194]
2341  : 2023-02-01, [0.8512263741487742, 2.103460048742839, 7.295313577108386]
2342  : 2023-02-01, [0.8738368222209805, 2.153998769701561, 7.472164408077458]
2343  : 2023-02-01, [0.8968090715353325, 2.2039869258031426, 7.649204002661525]
2344  : 2023-02-01, [0.9196366267346202, 2.2543794967797557, 7.8259838764856235]
2345  : 2023-02-01, [0.9428573207639018, 2.304554977650057, 8.002587701586041]
2346  : 2023-02-01, [0.9658933174000897, 2.3549310453969086, 8.179175637203]
2347  : 2023-02-01, [0.9890364221641103, 2.4054847186774286, 8.355478859158461]
2348  : 2023-02-01, [1.0125384627239287, 2.4553454787798694, 8.532116058496202]
2349  : 2023-02-01, [1.0362225507773357, 2.505351834176321, 8.708425615046345]
2350  : 2023-02-01, [1.059702612501754, 2.555767355369552, 8.884530032128694]
2351  : 2023-02-01, [1.0835804224757375, 2.605861336495679, 9.060558241028584]
2352  : 2023-02-01, [1.1076131415335055, 2.6558575381218317, 9.236529320344662]
2353  : 2023-02-01, [1.1314220589804558, 2.706289900678404, 9.41228804034114]
2354  : 2023-02-01, [1.1556701319880172, 2.7564445015236294, 9.587885366488354]
2355  : 2023-02-01, [1.180111877480787, 2.8065842907791207, 9.763303831740092]
2356  : 2023-02-01, [1.204619195538383, 2.856596744158101, 9.938784060303515]
2357  : 2023-02-01, [1.2292474877863802, 2.906615485682682, 10.114137026530939]
2358  : 2023-02-01, [1.2540398749974155, 2.956956100380496, 10.28900402462209]
2359  : 2023-02-01, [1.2789132143070014, 3.007002742772978, 10.464084042920021]
2360  : 2023-02-01, [1.303908895567267, 3.0570628842781855, 10.639028220154549]
2361  : 2023-02-01, [1.3294972157257583, 3.1070357861464077, 10.813466998127835]
2362  : 2023-02-01, [1.3547479137262244, 3.157132655996173, 10.988119430277601]
2363  : 2023-02-01, [1.3801900832766445, 3.207408584285386, 11.162401332437971]
2364  : 2023-02-01, [1.4062067587113694, 3.257263844780539, 11.33652939650809]
2365  : 2023-02-01, [1.4318191378375895, 3.3076296507298792, 11.51055121143253]
2366  : 2023-02-01, [1.4581129598956728, 3.357540579576372, 11.684346460527955]
2367  : 2023-02-01, [1.4840800967022612, 3.4079461915633065, 11.857973711734433]
2368  : 2023-02-01, [1.5106320169410117, 3.4581296113105084, 12.03123837174848]
2369  : 2023-02-01, [1.5368946633796325, 3.5086883108342017, 12.204417025786165]
2370  : 2023-02-01, [1.563728866325984, 3.558963891204067, 12.37730724246995]
2371  : 2023-02-01, [1.5908129506941622, 3.6092540339169243, 12.549933015388913]
2372  : 2023-02-01, [1.6179659329980665, 3.659413167282402, 12.722620899719534]
2373  : 2023-02-01, [1.6452406741747678, 3.709848586479034, 12.894910739346198]
2374  : 2023-02-01, [1.6727735994399988, 3.7603071132857284, 13.066919287274272]
2375  : 2023-02-01, [1.7003722067997902, 3.8106358251852726, 13.238991968014938]
2376  : 2023-02-01, [1.7282142827006042, 3.861535728913256, 13.410249988386141]
2377  : 2023-02-01, [1.7566292494326152, 3.911414921888338, 13.581955828679046]
2378  : 2023-02-01, [1.7847837865135352, 3.962467790216827, 13.752748423269638]
2379  : 2023-02-01, [1.8130899727519707, 4.013287709290635, 13.923622317957394]
2380  : 2023-02-01, [1.842092679676669, 4.06392411448609, 14.093983205837242]
2381  : 2023-02-01, [1.870721289174381, 4.115252792512976, 14.264025918312642]
2382  : 2023-02-01, [1.9001896702675682, 4.16603223737858, 14.433778092353851]
2383  : 2023-02-01, [1.9297017691910312, 4.216957056211673, 14.603341174597295]
2384  : 2023-02-01, [1.9595581368716959, 4.268013624284407, 14.772428238843899]
2385  : 2023-02-01, [1.988846158667565, 4.319771225372074, 14.94138261596036]
