Itinerary: ['earth', 'venus', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
13056 : 2028-01-10, [0.8502475739770254, 1.0914240410880356, 2.7036274075639932, 14.354700977370944]
13057 : 2028-01-10, [1.0809434010068442, 0.9409107704193616, 5.079410260035876, 12.148735568537917]
13058 : 2028-01-10, [0.40634577479214473, 1.47387418682895, 4.652114263961401, 12.967665774417505]
13059 : 2028-01-10, [0.0976492668641732, 0.28684170924308106, 1.7855316800800793, 17.57997734381267]
13060 : 2028-01-10, [0.1646208692895804, 0.3849601878709681, 1.767897424600849, 17.682521518238605]
13061 : 2028-01-10, [0.3597358070462062, 0.424814449928386, 1.998416113556776, 17.46703362946863]
13062 : 2028-01-10, [0.2068437551445127, 0.5229876437398915, 2.3937112040616793, 17.37645739705392]
13063 : 2028-01-10, [0.06573027716068609, 1.5189812016782973, 2.4832000730913064, 16.68208844806971]
13064 : 2028-01-10, [0.9522802588148851, 1.241615928275821, 5.3089128981287805, 13.497190914780514]
13065 : 2028-01-10, [1.033626484829509, 1.2531298255878442, 5.06781998913196, 13.895423700450687]
13066 : 2028-01-10, [0.8956216911883771, 1.0125855112970814, 5.9612419905042575, 13.630550807010282]
13067 : 2028-01-10, [0.8949504290210891, 1.0771809284191436, 5.918273142963276, 13.859595499596493]
13068 : 2028-01-10, [0.8560802095132117, 1.1044955197365824, 5.943833225395795, 14.095591045354412]
13069 : 2028-01-10, [0.9377022373757057, 1.2396615464595844, 5.82077048217169, 14.251865733993023]
13070 : 2028-01-10, [0.9748345950033616, 1.3549509188521742, 5.733795566491345, 14.436418919653118]
13071 : 2028-01-10, [0.9872099692408721, 1.436317377197775, 5.665610981644833, 14.660861671916521]
13072 : 2028-01-10, [1.1221011484896024, 1.6006309299335488, 5.481582262444102, 14.795685659132747]
13073 : 2028-01-10, [1.1739903761288941, 1.700471474301449, 5.39191392979179, 14.983624219777868]
13074 : 2028-01-10, [1.2900230135889617, 1.8261346222427897, 5.247622467151696, 15.136219897016552]
13075 : 2028-01-10, [1.4500452789149163, 1.923817088712124, 5.134944493352048, 15.241193139020915]
13076 : 2028-01-10, [1.5154132801384081, 1.9895518159961265, 5.056496237463517, 15.438538666401946]
13077 : 2028-01-10, [0.11896097546822183, 2.173479602426667, 5.316824761231143, 16.64073466087397]
13078 : 2028-01-10, [0.29039928725503045, 2.1803578475349568, 5.297636972243947, 16.73160589296607]
13079 : 2028-01-10, [0.7446797863129351, 1.2642593696227085, 2.5332774930228092, 20.207783351041545]
13080 : 2028-01-20, [0.4246614160299606, 0.7588060972500118, 0.7663513907324035, 8.050181095987623]
13081 : 2028-01-20, [0.438785885180435, 0.7857687678163536, 0.765734447398723, 8.259710899604489]
13082 : 2028-01-20, [0.13073645194098135, 0.241343022308349, 1.5450195209601705, 8.5829010047905]
13083 : 2028-01-20, [0.19670227044864774, 0.6204936127495451, 0.9963104345842684, 8.936493682217538]
13084 : 2028-01-20, [0.5563297946609598, 0.9000877676056677, 0.8938507535544309, 8.649731684178942]
13085 : 2028-01-20, [0.7680054067041736, 1.1001066099103165, 1.8740337761255437, 7.507854207259966]
13086 : 2028-01-20, [0.13273528567526588, 0.33052300381701044, 1.4738944558314713, 9.562847254676253]
13087 : 2028-01-20, [0.17295523390435744, 0.39827085865402, 1.4540317145864816, 9.72474219285514]
