Itinerary: ['earth', 'venus', 'mars', 'pluto']
case #: launch date, tof of each leg
4387  : 2024-01-10, [0.3187730416425917, 0.4846983695675154, 10.946528588789894]
4388  : 2024-01-10, [0.3181056509996783, 0.4924915584950325, 11.189402790505287]
4389  : 2024-01-10, [0.3147304260844207, 0.49424088578705033, 11.44102868812853]
4390  : 2024-01-10, [0.2127578710257782, 0.12959111385902514, 12.157651015115196]
4391  : 2024-01-10, [0.20793159104974626, 0.13071498658721617, 12.411353422363039]
4392  : 2024-01-10, [0.19737932114367887, 0.05753969155487061, 12.74508098730145]
4393  : 2024-01-10, [0.20080913554582772, 0.058539545347287086, 12.990651319106885]
4394  : 2024-01-10, [0.20436954335166113, 0.05957746951163295, 13.236052987136706]
4395  : 2024-01-10, [0.20597667573890585, 0.05931202427903447, 13.484711299982058]
4396  : 2024-01-10, [0.20750716446607523, 0.059203063766669596, 13.733289771767256]
4397  : 2024-01-10, [0.21083067903259792, 0.06015128280921483, 13.979018038158188]
4398  : 2024-01-10, [0.21222943280043233, 0.06086302997817617, 14.226907537221392]
4399  : 2024-01-10, [0.20714741470559264, 0.6309676286530678, 13.911884956641337]
4400  : 2024-01-10, [0.21890935455202923, 0.06277869394831746, 14.71831195149965]
4401  : 2024-01-10, [0.21150069763596302, 0.6501950926769539, 14.388304209687082]
4402  : 2024-01-10, [0.21473227228388775, 0.6603853567489594, 14.624882370967153]
4403  : 2024-01-10, [0.21569977360234094, 0.6686122012998992, 14.86568802509776]
4404  : 2024-01-10, [0.2187512486696671, 0.6787640847063147, 15.102484666624017]
4405  : 2024-01-10, [0.2238199353620105, 0.688066872791758, 15.338113191846231]
4406  : 2024-01-10, [0.32358506322729236, 0.48086916353261927, 15.69554577324009]
4407  : 2024-01-10, [0.3262347676568591, 0.49174122520780983, 15.93202400713533]
4408  : 2024-01-10, [0.11166331230429444, 0.2735835600517458, 16.61475312764396]
4409  : 2024-01-10, [0.06932901955319438, 0.2806954842794613, 16.899975496167343]
4410  : 2024-01-10, [0.2853502225757348, 0.1546536082236853, 17.05999616920058]
4411  : 2024-01-10, [0.31024882046672525, 0.16709956347852964, 17.272651616054745]
4412  : 2024-01-10, [0.12434697383910973, 0.2967045416431396, 17.578948484517753]
4413  : 2024-01-10, [0.09107924620263341, 0.29784357452374055, 17.861077179273625]
