Itinerary: ['earth', 'jupiter', 'pluto']
4495  : 2024-01-20, [1.0892069831130886, 22.660793016886913]
4496  : 2024-01-20, [1.0989706664153762, 22.901029333584624]
4497  : 2024-01-20, [1.1086328518630644, 23.141367148136936]
4498  : 2024-01-20, [1.1183248277443019, 23.381675172255697]
4499  : 2024-01-20, [1.1279358171423564, 23.622064182857642]
4500  : 2024-02-01, [0.5057842831243121, 9.494215716875688]
4501  : 2024-02-01, [0.5174463894219492, 9.732553610578051]
4502  : 2024-02-01, [0.5290844347928494, 9.97091556520715]
4503  : 2024-02-01, [0.5406628422636408, 10.209337157736359]
4504  : 2024-02-01, [0.5521994974649849, 10.447800502535015]
4505  : 2024-02-01, [0.5636943801964602, 10.686305619803539]
4506  : 2024-02-01, [0.5751479496702847, 10.924852050329715]
4507  : 2024-02-01, [0.5865816445693545, 11.163418355430645]
4508  : 2024-02-01, [0.5979535250946246, 11.402046474905376]
4509  : 2024-02-01, [0.6092842622623389, 11.640715737737661]
4510  : 2024-02-01, [0.6205739817030158, 11.879426018296984]
4511  : 2024-02-01, [0.6318086954021458, 12.118191304597854]
4512  : 2024-02-01, [0.6430168047785916, 12.356983195221408]
4513  : 2024-02-01, [0.654184311264348, 12.595815688735653]
4514  : 2024-02-01, [0.665311325870855, 12.834688674129145]
4515  : 2024-02-01, [0.6763981233202481, 13.073601876679751]
4516  : 2024-02-01, [0.6874293713146661, 13.312570628685334]
4517  : 2024-02-01, [0.6984357825553528, 13.551564217444648]
4518  : 2024-02-01, [0.7094025635543068, 13.790597436445694]
4519  : 2024-02-01, [0.7203299563528973, 14.029670043647101]
4520  : 2024-02-01, [0.7312016489300419, 14.268798351069961]
4521  : 2024-02-01, [0.7420507022299545, 14.507949297770047]
4522  : 2024-02-01, [0.7528609749155507, 14.747139025084449]
4523  : 2024-02-01, [0.7636161056520115, 14.98638389434799]
4524  : 2024-02-01, [0.7743502695660751, 15.225649730433926]
4525  : 2024-02-01, [0.7850467644450135, 15.464953235554988]
4526  : 2024-02-01, [0.7956884027768288, 15.704311597223173]
4527  : 2024-02-01, [0.8063109424153493, 15.943689057584649]
